model,description
500,"RED, 2 years Guarantee Available, Service History, Electric Windows - Front, In Car Entertainment - Radio/CD, Mirrors External - Electric, Body Coloured Bumpers, Central Door Locking - Remote, Immobiliser, Anti-Lock Brakes, Electronic Brake Force Distribution, Air Bag Driver, Air Bag Passenger, Air Bag Sides, Power-Assisted Steering, Adjustable Steering Column/Wheel, Seat Height Adjustment - Driver, Seating Capacity - Four Seats, Upholstery Cloth. 4 seats, Norths Motors Sell Quality Cars At The Country's Lowest Prices. Genuine Cars, Supplied HPI Clear, FREE HPI Report With Every Car.  WE ARE FINANCE SPECIALISTS. All Cars Subject To £98 Admin Fee. All Finance Subject to Terms & Status.  REF:GYLV, £4,490"
500,"WHITE, GENUINE LOW MILLEGE EXAMPLE - FULLL SERVICE HISTORY - STYLISH LOOKS AND GREAT DRIVEABILITY - MUST BE SEEN - MP3 STEREO - VERY ECONOMICAL AND CHEAP INSURANCE! -, Electric front windows, MP3 compatible radio/single CD player, Dualdrive PAS, Black electric adjust door mirrors, Height adjustable drivers seat. 4 seats, CENTRAL MOTOR CO - TRADING FOR 25+ YEARS - QUALITY USED CAR CENTRE - DELIVERY/FINANCE ALSO AVAILABLE, £4,495"
astra,"SILVER, STARTS & DRIVERS HOWEVER SLIGHTLY SMOKEY FROM EXHAUST WHEN WARM - SPARES OR REPAIRS NO WARRANTY GIVEN OR IMPLIED - GOOD CONDITION IDEAL FOR PARTS, Next MOT due 05/11/2015, Service history, Air-Conditioning, Electric Windows. 5 seats, £390"
focus,"RED, Check our website for more quality cars, Viewing by appointment, PX Welcome,, Next MOT due 23/02/2016, Air-Conditioning, Alloy Wheels, Computer, Electric Windows, Heated Front Screen, In Car Entertainment, Seats Electric. 5 seats, Check our website for a wide range of quality cars,, £495"
golf,"WHITE, Next MOT due 15/08/2015, Full service history, 3x3 point rear seat belts, Air conditioning, Airbags, Alarm, Alloy wheels, CD Player, Central locking, Child locks & Isofix system, Electric door mirrors, Electric windows, Folding rear seats, Height adjustable drivers seat, Immobiliser, Lumbar support, Power steering, Radio, Remote central locking, Sports seats, Sunroof, Traction control. 5 seats, REDLION ROAD TOLWORTH, KT6 7QD - please visit website for full stock list, £500 p/x welcome"
500,"WHITE, 2 Lady Owners. Full Service History, Fantastic Little Car, Alloy Wheels, ABS, Remote Central Locking / Alarm, CD System, White With Black Stripes, Drives Superb, Electric Windows, In Car Entertainment. 4 seats, Auto Sussex Ltd - Your Friendly & Trustworthy Used Car Company. Competitive Low % APR Finance, £4,250"
corsa,"SILVER, Engine and gearbox in great condition, 5 door 1.2 economically friendly, Loads of paperwork.. Fantastic Bargain price, Next MOT due 25/03/2016, In Car Entertainment, CD Player. 5 seats, Located near Windsor, £450"
astra,"RED, Electric Windows, In Car Entertainment. 5 seats, £350"
corsa,"GREEN, Manual sunroof, Height adjustable driver's seat, Height adjustable passenger seat, Folding rear seats, 15"" Alloy Wheels, Power steering, Steering wheel reach adjustment, Driver's airbags, Passenger airbags. 5 seats, £520"
500,"RED, SERVICE HISTORY, CD PLAYER, BODY COLOURED BUMPERS, REMOTE CENTRAL LOCKING, ELECTRIC WINDOWS, Air Bag Driver, Air Bag Knee - Driver, Air Bag Passenger, Air Bag Side - Driver/Passenger, Anti-Lock Brakes, Body Coloured Bumpers, Central Door Locking - Remote, Electric Windows - Front, Electronic Brake Force Distribution, Head Restraints - Front, Head Restraints - Front/Rear, Immobiliser, In Car Entertainment - Radio/CD/MP3, Mirrors External - Electric, Power-Assisted Steering, Seat - ISOFIX Anchorage Point, Seat Height Adjustment - Driver, Speakers - Six, Steel Wheels - 14in, Upholstery Cloth. 4 seats, DRIVE AWAY INSURANCE AVAILABLE WITH THIS VEHICLE REF:BMGV, £4,500"
astra,"SILVER, WARRANTED MILES WITH FULL VOSA HISTORY + 19/10/2015 MOT + HPI CLEAR, Air-Conditioning, Electric Windows, In Car Entertainment. 5 seats, BEDFORDSHIRE ONE OF THE MOST COMPETITIVE DEALERSHIP WITH A WIDE VARIETY OF QUALITY CARS IN STOCK, OVER 150 CARS ON SITE AT ANY TIME, ALL DEALER FACILITIES AVAILABLE: LOW RATE FINANCE AVAILABLE, WE ACCEPT ALL MAJOR DEBIT & CREDIT CARDS, PART EXCHANGE WELCOME, 7 DAYS DRIVE AWAY INSURANCE OPT ON CARS UNDER 10 YEARS OLD. 3, 6 & 12 MONTHS WARRANTY AVAILABLE ( PARTS & LABOUR ) , OUR SHOWROOM IS CONVENIENTLY LOCATED IN DUNSTABLE BETWEEN MARKYATE & MILTON KEYNES, LU6 1NE, +WE ARE OPEN 7 DAYS 9:00A TILL 7:00P + TO BOOK A VIEWING CALL US ON (01908) 461344 OR (07441) 907688, £395 p/x welcome"
500,"Cosmetically the car is in excellent condition and it was valeted 2 weeks ago., The car is HPI clear, it's never been involved in an accident and it's never been painted., All the usual specs: CD, Bluetooth, Phone Connectivity, Electric Mirrors, Multi Functional Steering Wheel., SILVER, 4 seats, £4,160"
corsa,"Metallic green, 134,000 miles, good runner, ideal first car., GREEN, Next MOT due 11/10/2015, CD player, Alloy wheels, Power steering, Central locking, Driver's airbags. 5 seats, £525"
500,"BLACK, Electric Windows, In Car Entertainment. 4 seats, Only 53000 miles,one lady owner from new,remote central locking,cd player,twin air bags,electric mirrors,pas,full service history,12 months mot,£30 tax,2 keys,main dealer part exchange,HPi clear,excellent condition throughout,part exchange considered,should you require any further information or to arrange a test drive,please call 07809440359 or email mpautos1@gmail.com, £4,295"
500,"RED, GENUINE IMMACULATE CONDITION. Recent new Brakes. Alloy wheels. Body stripes. Trip computer., Electric Windows, In Car Entertainment. 4 seats, Trip computer. City Power steering. Remote central locking. UPTO 60 MPG!! Professionally valeted. Any car or motorcycle considered in part ex. View undercover regardless of weather conditions. HPi Clear. 50 Cars available on site., £4,495"
corsa,"Solid BLUE, Next MOT due 15/08/2015, SPARES OR REPAIRS, POSSIBLE HEAD GASKET GONE, In Car Entertainment, Airbags, Alloy wheels, CD Player, Electric windows, Remote central locking, Power steering. 5 seats, SENIOR MOTORS HAS BEEN ESTABLISHED IN BRADFORD SINCE 1976., £295"
corsa,"Good Condition, Ideal First Car, looking for asking price O.N.O, RED, 3 owners, Next MOT due 13/06/2015, Part service history, £450"
500,"WHITE, hpi clear/trading standards approved dealer, 1 month warranty, Next MOT due 24/10/2015, Part service history, Excellent bodywork, Interior - Excellent Condition, Tyre condition Good, Electric Windows, In Car Entertainment. 4 seats, excellent condition in and out best colour smaller engine for cheaper running costs px considered finance available we sock over 40 cars check out our web site go to www.mdcarlot.co.uk all our cars come with a 1 month warranty subject to full asking price, £4,475 p/x welcome"
500,"Metallic GREY, Lovely Example With Service History, Grey Part leather interior, Electric Windows, Airbags, CD Player, Immobiliser, Power steering, Electric door mirrors, Remote central locking. 4 seats, £4,299"
500,"WHITE, £20 A YEAR TAX, 12 months MOT, Part service history, Excellent bodywork, Interior - Excellent Condition, Tyre condition Excellent, Electric Windows, In Car Entertainment. 4 seats, HAD 4 NEW TYRES RECENT SERVICE REPLACED SUSPENSION COMPONENTS NEW EXHAUST DRIVES SUPERB PANORAMIC ROOF 2X KEYS ORIGINAL MANUALS FRESH VALET READY FOR SUMMER!!!£4495, 3 MONTHS ENGINE & GEARBOX WARRANTY BUY WITH CONFIDENCE CLICK>DEALER WEBSITE FOR LOCATION, Experian auto check clear, £4,495 p/x considered"
polo,"BLACK, recent clutch water pump and cam belt, Next MOT due 29/09/2015, 5 seats, Ready to work hard and run on next to nothing, Great little car worth every penny so NO silly offers you wont like the answer this is cheap motoring!!!, £575 p/x welcome"
fiesta,"SILVER, ++ 5 MONTHS MOT ++ ONLY 3 PREVIOUS OWNERS ++ 2 KEYS ++, In Car Entertainment. 5 seats, LOOKS AND DRIVES WELL FOR AGE, PRICED TO SELL..., Open 7 days a week, Monday-Thursday 9 til 7, Friday 9 til 6, Saturday 9 til 5 and Sunday 11 til 4, £290 p/x considered"
focus,"green x reg focus estate, 1.6 petrol, full history, 121K, automatic, 2Keys, MOT June,  new tyres, new pads, resent back wheel bearing, new coil pack, good work horse, interior could do with a valet as its used for work, never had a problem with it in the last 18month, needs some TLC as body work lets it down due to a light bump. on a cat c as replacing the dents in tail gate an cracked back bumper would of cost more than the insurers would cover. since AA replaced cool pack last week there is an engine light on the dash, but still drives. quick sale needed as I've up graded to a 2005 with lower mileage. £375ONO, GREEN, Electric windows, 15"" Alloy Wheels, Power steering, Steering wheel rake adjustment, Central locking, Alarm, Driver's airbags, Passenger airbags. 5 seats, £375"
polo,"Metallic star silver, ideal runabout with long mot!!, Upgrades - Manual Glass Sunroof Slide & Tilt, Driver's Air Bag, Next MOT due 01/03/2016, Average bodywork, Grey Cloth interior - Good Condition, Tyre condition Good, 5 seats, NEWPORT CAR COMPANY LTD..HAND PICKED CARS AT LOW PRICES!!, Family run business, Hand picked quality cars at low prices!!! FINANCE AVAILABLE!!, £450"
astra,"Burgundy Red, PRICED FOR QUICK SALE / DECENT LOOKING CAR / DRIVES WELL, Next MOT due 14/06/2015, Service history, Air conditioning, Radio / cassette player, Electric front windows and door mirrors, Trip computer, Digital information display, Ambient exterior temperature display, Power assisted steering (PAS), Remote central locking, Immobiliser, Front airbags, ABS, 3 x 3 point rear seat belts, Height adjustable seat, Height adjustable steering wheel, Split folding rear seats, Roof rails, Cup holders, Etc.... 5 seats, Inexpensive Astra Estate in Decent Condition For Age and Mileage.  Quite a good looking car and very tidy inside.  Nine Stamps in the Service Book (last recorded @ 89,418 Miles).  HPI Clear.  PLEASE NOTE SHORT MOT (mid June) AND WILL REQUIRE SOME WORK FOR NEXT MOT.  Smokey on start-up when cold, n/s/f tyre close to legal limit, Oil Leak and Engine Management Light in On.  Otherwise car drives surprisingly well and still feels tight despite its miles!  TO BE SOLD AS SEEN (No Warranty) but independent inspections and test drives are always welcome., A Family Business Since 2005 ~ Over 30% of Our Sales are Repeat Business or Recommendations....., £295 ono"
500,"BLUE, 4 seats, 1.3L Engine,cheap tax and insurance,Road Tax Cost Only £20 Per Year, Ideal First Car, 12months Mot , Full Service History+Pre-sale Service in our Work-shop,very good condition clean inside and outside, Hpi Clear Never Been Involved in Accident.,.***** For More Info. About This Car Please Call Us on 07402589892 Any Time. +++ Location: West Drayton UB7 7RU. Only 5 minutes away from Heathrow Airport - M4 - Junction 4, M25 - Junctions 15 & 16 All Major Cards Accepted. Drive away insurance, P/x Welcome++++Finance Available++++ Open 7 days. Extensive Warranty Packages Available, £4,200"
polo,"RED, *TIMING BELT REPLACED* HPI CLEAR* WELL MAINTAINED WITH SERVICE HISTORY* IN GOOD CONDITION THROUGHOUT* ECONOMICAL* LOW INSURANCE GROUP*, Sunroof Electric, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, 2 ORIGINAL KEYS, MOT TILL 15/09/2015 - LOTS OF RECEIPTS + ORIGINAL MANUALS IN FOLDER - CALL NOW TO BOOK AN APPOINTMENT!!, WE WILL TAKE ANY CAR IN PART - EXCHANGE - DEBIT & CREDIT CARDS ACCEPTED, £549 p/x welcome"
astra,"Vauxhall Astra Good runner, 10 months MOT, AC, cheap car, cheap to insure, fog lights, sterling wheel remote, height adjustable driver seat, just done the full services, alloys wheels, good condition tyres, spare wheel. Offers welcomed., For any others details contact me via phone., Thank you for watching., SILVER, 5 seats, £389"
500,"Metallic WHITE, FREE 5 DAYS DRIVE WAY INSURANCE, White Cloth interior, 5in Touchscreen Radio, 3x3 point rear seat belts, Air conditioning, Airbags, Alarm, Alloy wheels, CD Player, Central locking, Cruise control, Electric door mirrors, Electric windows, Folding rear seats, Immobiliser, Power steering, Remote central locking, Traction control. 4 seats, CALL US ON 07886763277, £4,495"
astra,"RED, 11 Months Mot, Very Nice to drive, Folding rear seats, Power steering, Sunroof, Electric windows, Central locking, Airbags, Radio. £390 ono"
focus,"SILVER, Black Cloth interior, Air-Conditioning, Electric Windows, Heated Front Screen, In Car Entertainment, Seats Electric. 5 seats, County Motors have been established for over 4 years with Managing Director Nick having over 20 years car experience, All our cars come with a hpi check, warranty, pre delivery inspection and a full valet. We can offer finance on our vehicles from as little as 4% If there is anything we have missed please feel free to give us a call., £500"
focus,"Metallic SILVER, Air-Conditioning, Alloy Wheels, Computer, Electric Windows, Heated Front Screen. 5 seats, OUT OF HOURS TEL 07891528583, £490"
corsa,"VAUXHALL CORSA 1.2 5 DOOR PETROL, RED, Full service history, Electric windows, CD player, Folding rear seats, Child seat points (Isofix system), Metallic paint, Spare wheel (Full), Power steering, Steering wheel rake adjustment, Steering wheel reach adjustment, Central locking, Alarm, Driver's airbags, Passenger airbags. 5 seats, £500"
corsa,"GREEN, 4 MONTHS, FULL VOSA HISTORY, WARRANTED LOW MILEAGE, VERY ECONOMICAL, LOW INSURANCE GROUP, ENGINE CLUTCH AND GEARBOX RUNNING SMOOTH,, Sunroof Manual, Electric Windows, In Car Entertainment. 5 seats, GOOD TYRES ALL ROUND, SMOOTH DRIVE, OPEN 7 DAYS A WEEK, ANY PART EX WELCOME, NO TIMEWASTERS,, £295 p/x welcome"
astra,"Repair or spares, new exhaust and ecu told by rac it was the fault , won't start suspect sensor, I'm disabled so cannot repair myself run fantastic til after a new exhaust, then warm start prob then none starter , engine, gearbox ,diff, electrics all run perfect til then. Sure some one who is a mechanic could sort very quickly., GREY, Electric windows, Air conditioning, Height adjustable driver's seat, Height adjustable passenger seat, Folding rear seats, Spare wheel (Full), Power steering, Steering wheel rake adjustment, Steering wheel reach adjustment, Central locking, Immobiliser, Driver's airbags, Passenger airbags. 5 seats, £250"
corsa,"Light pink/Salmon colour. MOT due in November 2015. Good drive, no mechanical issues. 82,000 miles. Ideal for a first car as cheap to insure. Electric Window and Electric central locking. CD player., The only issues with the car is that the passenger window does not work, and windscreen wipers only work on fast speed. Also, has a few scratches on the front bumper., Have had this car for 5 years and has served me well, I have bought a new car which is why i am selling this one., Pick up in Chiswick, Ask for any more details :-), RED, 2 owners, Next MOT due 23/11/2015, Part service history, Electric windows, CD player, Folding rear seats, Power steering, Central locking, Alarm, Immobiliser, Driver's airbags, Passenger airbags. 5 seats, £520"
500,"Twin air, leather black and grey seats, parrot Bluetooth device, air con, driver and passenger adjustable seats, electric side mirror control, BLACK, 3 owners, Full service history, Electric windows, Air conditioning, CD player, Leather trim, Height adjustable driver's seat, Height adjustable passenger seat, Folding rear seats, Central locking, Immobiliser, Driver's airbags, Passenger airbags. 4 seats, £4,300"
golf,"RED, DAMAGED DRIVERS DOOR, Alarm, Computer, Electric Windows, In Car Entertainment. 5 seats, TO VIEW OUR FURTHER 500 SIMILAR DAMAGED VEHICLES GO TO www.chaseautos.com, £375"
corsa,"Solid Blue, 12 months MOT, Good bodywork, Black Cloth interior - Good Condition, Tyre condition Good, Air-Conditioning, Alarm, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, £495"
polo,"One Owner car very clean also has the original Volkswagen alarm fob, RED, 1 owner, Next MOT due 16/05/2016, Part service history, Electric windows, Spare wheel (Space-saver), Power steering, Central locking, Alarm, Immobiliser, Driver's airbags, Side airbags. 5 seats, £695"
fiesta,"BLACK, ++ 9 MONTHS MOT ++ ONLY 3 PREVIOUS OWNERS ++, Alloy Wheels, In Car Entertainment. 5 seats, LOOKS AND DRIVES WELL FOR AGE, PRICED TO SELL..., Open 7 days a week, Monday-Thursday 9 til 7, Friday 9 til 6, Saturday 9 til 5 and Sunday 11 til 4, £290 p/x considered"
500,"SILVER, Upgrades - Air Conditioning, Metallic Paint, Service history, Standard Features - Electric Front Windows, Radio/CD/MP3 Player. 4 seats, £3,750"
500,"Immaculate in and out, WHITE, 4 seats, £3,200"
500,"Low mileage, 60+ mpg, great looking reliable car! 3 previous female owners., WHITE, Electric windows, CD player, Leather trim, Height adjustable driver's seat, Folding rear seats, Spare wheel (Space-saver), Power steering, Steering wheel reach adjustment, Central locking, Driver's airbags, Passenger airbags. 4 seats, £4,295"
corsa,"GREEN, Next MOT due 30/04/2016, Sunroof Manual, Electric Windows, In Car Entertainment. 5 seats, REGISTERED ACCIDENT DAMAGED, NOW REPAIRED., ALL USUAL AUCTION TERMS AND CONDITIONS APPLY., POST CODE M26 2TA, FOR FULL STOCK LIST GO TO www.radcliffecarauctions.co.uk, SORRY WE CANNOT REPLY TO EMAILS., OUT OF HOURS MOBILE 07809387718., £390"
fiesta,"RED, PAR EX TO CLEAR.. Drives Perfect, Sunroof Manual, In Car Entertainment, Airbags, Radio, Immobiliser, Central locking. 5 seats, ** We accept American Express And All debit and Credit Cards. For more info visit our webside ***, £245"
